INFO 2024-08-08 07:32:01,950 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-08 07:32:01,952 autoreload Waiting for apps ready_event.
DEBUG 2024-08-08 07:32:01,996 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-08 07:32:02,006 autoreload Watching dir C:\Users\777\Documents\project\shop\goods\templates with glob **/*.
DEBUG 2024-08-08 07:32:02,015 autoreload Watching dir C:\Users\777\Documents\project\shop\orders\templates with glob **/*.
DEBUG 2024-08-08 07:32:02,017 autoreload Watching dir C:\Users\777\Documents\project\shop\carts\templates with glob **/*.
DEBUG 2024-08-08 07:32:02,018 autoreload Watching dir C:\Users\777\Documents\project\shop\templates with glob **/*.
DEBUG 2024-08-08 07:32:02,019 autoreload Watching dir C:\Users\777\Documents\project\shop\main\templates with glob **/*.
DEBUG 2024-08-08 07:32:02,020 autoreload Watching dir C:\Users\777\Documents\project\shop\users\templates with glob **/*.
DEBUG 2024-08-08 07:32:02,027 autoreload Watching dir C:\Users\777\Documents\project\shop\locale with glob **/*.mo.
DEBUG 2024-08-08 07:32:02,028 autoreload Watching dir C:\Users\777\Documents\project\shop\main\locale with glob **/*.mo.
DEBUG 2024-08-08 07:32:02,029 autoreload Watching dir C:\Users\777\Documents\project\shop\goods\locale with glob **/*.mo.
DEBUG 2024-08-08 07:32:02,030 autoreload Watching dir C:\Users\777\Documents\project\shop\users\locale with glob **/*.mo.
DEBUG 2024-08-08 07:32:02,031 autoreload Watching dir C:\Users\777\Documents\project\shop\carts\locale with glob **/*.mo.
DEBUG 2024-08-08 07:32:02,032 autoreload Watching dir C:\Users\777\Documents\project\shop\orders\locale with glob **/*.mo.
DEBUG 2024-08-08 07:32:02,097 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-08-08 07:32:02,102 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-08-08 07:32:02,252 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1721548316.0294433
DEBUG 2024-08-08 07:32:02,263 autoreload File C:\Users\777\Documents\project\shop\goods\templatetags\goods_tags.py first seen with mtime 1722176139.7509925
DEBUG 2024-08-08 07:32:02,263 autoreload File C:\Python311\Lib\asyncio\base_futures.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,264 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1721548315.6820548
DEBUG 2024-08-08 07:32:02,265 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1721548316.1141284
DEBUG 2024-08-08 07:32:02,266 autoreload File C:\Python311\Lib\concurrent\futures\thread.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,266 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\models\query.py first seen with mtime 1721548315.8448155
DEBUG 2024-08-08 07:32:02,267 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1721548315.6130471
DEBUG 2024-08-08 07:32:02,268 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1721548311.5568786
DEBUG 2024-08-08 07:32:02,269 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1721548315.6508
DEBUG 2024-08-08 07:32:02,271 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1721548315.8513215
